sigma_rate,arctan_a,arctan_b,beta
1.5185593,-1.2584019,-0.403907,2.918656
-1.5786265,-0.5429787,-1.3865519,3.4138882
0.95637065,-0.9828388,-1.6945207,4.199258
1.6901394,-0.1588028,-0.38976318,3.407283
0.5509325,-0.5762267,-1.6548108,4.1895585
1.9335514,-0.28843904,-0.7617737,3.0632732
3.1896408,-0.09559211,0.38927317,3.5136216
-0.4437974,-0.178654,0.3975233,2.7471876
0.6565318,-0.8039342,-1.2890085,3.458256
2.4365447,-0.44058496,-3.6849227,3.7835858
1.1723566,-0.7914153,-1.1758806,3.3616352
0.15365052,0.034358136,-1.2338512,2.8767793
1.3288802,-0.31137145,-0.52914184,3.4346733
0.3308166,-0.46868286,-1.973951,4.064103
1.61811,-0.08566242,-1.2448204,3.6755953
0.82255316,-0.1713713,1.0920184,2.010923
-0.2485826,-0.39376184,-1.7141922,3.9787025
1.7006971,-0.9218167,-1.6754256,1.4544274
1.9932814,0.0916289,-1.8851459,3.456446
-1.780515,-0.5087825,-1.5062878,3.9461567
1.5930406,-0.7777851,-0.9562872,3.7471066
-2.6666768,-0.23400949,0.56317574,5.161023
-0.8380724,0.6751358,-2.0218387,4.9492493
2.1658237,-0.9219723,-1.3262821,2.9715028
3.3335383,0.2437615,0.53067195,3.2803648
-1.8462993,-0.59412056,-1.5419793,3.8610284
1.0542202,-0.17958017,-1.1333766,4.5198545
-1.7273071,-0.7730021,-1.4643241,3.6642456
3.0511267,-0.0795983,0.23775269,3.4875188
2.2112093,-1.1035503,-1.3414769,2.7729414
1.4705162,-0.22242716,-0.3165152,3.7629824
1.7448859,0.09416845,-1.6705562,3.6715677
-1.5079037,-0.46640298,-1.3084036,3.9126723
2.0333097,-0.9511604,-1.5799906,3.0297422
1.9751992,-0.33568913,-1.8745748,4.1829534
2.126013,-1.037532,-1.5264095,1.9802922
1.8134439,-0.7497925,-1.4756029,3.2139313
-1.9546076,-0.63284,-1.5938169,3.74485
1.8261688,-1.1269404,-1.1472542,3.1381106
-0.13495868,0.45194653,-1.3659054,4.5138764
0.60171896,-0.11708164,1.9299941,3.932042
-0.38910002,-0.20510276,0.24471508,3.2368836
-0.715228,-0.11863031,1.3286852,4.9282427
1.7948176,-0.40396234,-0.8095626,3.4203355
2.2873316,-0.1221246,-1.9262185,2.4238412
-0.67296094,-0.3487502,-2.026703,3.3846097
1.6308769,-0.98432964,-1.2948189,2.0155377
1.5091665,-0.891028,-1.125419,2.8151886
1.9305927,0.15952247,-1.9770857,3.5925539
2.0714226,-1.3382186,-1.4440289,2.547492
-1.6259103,-0.6679037,-1.2506623,3.6737907
-0.98456585,-0.13888532,1.5754024,5.2143393
-0.8512737,-0.18887788,1.4577054,5.201583
0.32526276,-0.23990576,-0.75662434,-1.0382502
1.1678189,-1.3154124,-0.82022065,3.2215774
-1.5286812,-0.46188822,-1.2457836,3.9634333
-1.6562581,-0.5863409,-1.5990099,3.6810482
0.35490224,0.1402944,-3.9641273,2.09824
0.34705687,-0.13764101,-1.3203461,2.5936322
5.7690883,-1.7902579,-7.713162,-3.25432
0.20294248,0.29016367,-1.2544804,4.714009
-0.52309203,-0.27576104,0.5496784,2.061314
1.4902877,-0.39870256,-1.2449373,3.8165445
0.34090814,-1.3353198,-0.8814903,2.6602848
1.3921412,-0.22192042,-0.57629794,-0.33846447
3.1146324,-0.062470008,0.29517654,3.6546674
-1.7375443,-0.51332694,-1.2336955,3.8308516
-1.8921419,-0.5151771,-1.2534665,1.8623966
1.3640795,-0.09153665,0.07334507,-0.13008448
0.7135119,-0.9049077,-0.992206,3.352138
-0.20368738,-0.40189275,-1.5717264,4.0634236
1.8197349,-0.20668109,0.14357355,2.908211
1.5146948,-0.5179328,-1.9169108,2.6094875
0.97197187,-0.1867121,-0.31564838,4.9217935
2.221661,0.12427438,-1.9355878,3.002161
3.0732095,-0.097352006,0.28212088,3.4742618
1.5040609,-0.35718352,-0.33487004,4.035886
0.7370978,-0.88533896,-1.3866456,2.858738
-0.067895606,-0.002134078,-0.6455461,-1.3319067
1.7414993,-0.046885114,-1.6685975,2.831776
-2.2033644,-0.7876346,-1.9938934,3.9914641
0.56092006,-0.79169893,-1.215761,3.451417
0.25299338,-0.3850959,-1.8333261,4.84177
-0.23383057,-0.3326674,2.904173,5.4748826
-1.7722753,-0.46640554,-1.1803968,3.9375186
0.3614389,-0.9956269,-1.0863012,3.1648352
1.0649537,-0.0045255935,-1.5880064,4.642305
1.8889483,-1.6744314,-0.79199195,3.027358
