sigma_rate,exp_a,exp_b,beta
0.8403576,0.33341816,2.0150728,2.75948
1.178615,1.6246909,1.734223,2.6034875
1.2738086,1.0945796,1.8282568,2.2621496
1.2044259,0.889039,1.6603415,2.567248
1.0871851,-0.15655318,1.6645718,2.3185248
1.2499076,-0.9831095,1.2082533,1.936793
1.2621459,0.15988317,1.456646,2.5901263
1.1883965,0.36881846,1.6988566,2.5856514
0.6230479,-0.46879587,0.6006787,2.3566194
0.82347536,-0.45210153,1.5174044,2.7284794
1.1309466,0.55911016,1.942798,2.621559
0.99947584,-0.14700997,2.1991606,2.7132854
1.1207956,0.1138672,2.3807821,2.5731184
1.2230395,0.77105767,1.3155919,2.3058867
0.91813946,-1.1201409,0.51586884,2.2984352
0.9510703,0.7418393,2.1770995,2.8526456
0.96621925,0.78019536,2.4950914,2.0378268
0.9271385,-0.67650735,1.1704314,2.6689942
1.075415,1.0504355,2.3840258,1.9553635
1.1123091,0.9407892,1.8228979,2.7938724
1.3499813,1.2141901,1.0962976,2.7889664
1.3414315,0.31645086,1.4477419,1.9747978
1.188475,0.5591235,1.72463,3.0171907
1.0328017,0.05611762,1.4592915,2.220325
1.5132587,1.1011615,0.37658492,2.0293636
1.1438016,0.68376327,1.6818182,3.1990135
1.1693323,0.1118563,1.738985,2.9429264
1.1089863,-0.20706016,1.4734346,2.3559296
0.5500805,0.1569295,1.9673257,2.4840996
1.2111117,0.62839675,1.9743316,2.2181928
0.9224563,-0.15315041,2.2357354,2.5422459
1.0750277,0.72011167,2.4676547,2.0599554
1.2783515,0.19690715,1.076845,2.0977833
1.1377786,0.6265328,0.94720423,1.7830741
1.1841099,0.39478853,1.5326141,2.4021072
1.1717429,0.8986397,2.4818408,2.5134928
1.1793861,0.4398478,2.02781,2.2334166
1.054202,0.71055424,1.9610966,1.4180026
