sigma_rate,exp_a,exp_b,beta
1.0961663,0.36168838,1.6533103,2.3773367
1.1348387,0.38013276,1.7932279,2.4255025
1.1055864,0.34928453,1.7548865,2.4721892
1.09923,0.45471448,1.7202069,2.3997786
1.1184281,0.41200298,1.6670066,2.3701036
1.1214734,0.39617753,1.6682986,2.4194021
1.0969952,0.2676397,1.7304813,2.367507
1.0917797,0.38101664,1.6195679,2.3849223
1.0810145,0.39511326,1.6471717,2.4762096
1.104116,0.342255,1.7156677,2.39718
1.0985676,0.4333905,1.5494078,2.40871
1.0983831,0.30521896,1.7557241,2.419046
1.1383233,0.32214412,1.7648066,2.4311428
1.1069629,0.29369944,1.6877087,2.332152
1.1060547,0.40656218,1.6770369,2.4329329
1.1013409,0.35988286,1.7067205,2.5050936
1.0647937,0.420789,1.6258821,2.3833165
1.0775669,0.33977282,1.6949209,2.3943205
1.0996093,0.379626,1.7503127,2.3872166
1.0842321,0.3341839,1.6612538,2.3581686
1.1022425,0.37578076,1.6845037,2.410316
1.1060302,0.44174892,1.5797598,2.3658566
1.0893389,0.29831606,1.7473514,2.383524
1.1211158,0.36728564,1.7127378,2.4151473
1.1654584,0.4248582,1.6174946,2.4404655
1.133675,0.40018022,1.4816016,2.311842
1.0798099,0.2927877,1.7090985,2.3326948
1.0672371,0.31740898,1.740609,2.3960543
1.0904688,0.3939541,1.7001544,2.4402318
1.1056633,0.4139947,1.6736465,2.429957
1.1274966,0.30819437,1.7524338,2.471237
1.0848284,0.38227746,1.7349988,2.5655622
1.1391789,0.35635942,1.7368212,2.4659278
1.1033078,0.2856198,1.7230251,2.3576741
1.1370548,0.3752358,1.7359165,2.414986
1.0987973,0.3547793,1.6338167,2.3838878
1.1227069,0.3860483,1.6764668,2.3253183
1.0971262,0.37612516,1.654446,2.4438016
1.0391269,0.32124883,1.7472209,2.4440827
1.125099,0.37245056,1.6181551,2.4290216
1.1145099,0.44135067,1.7110131,2.4434724
1.0720284,0.3663871,1.6575044,2.3906217
1.0848801,0.26334858,1.7465328,2.407981
1.0628343,0.32177746,1.7385781,2.3982997
1.1237842,0.45774105,1.6453218,2.4242432
1.1229306,0.28100473,1.6786702,2.283226
1.1437888,0.38786438,1.6374685,2.3825872
1.1091018,0.32019642,1.6204605,2.397003
1.1817098,0.22059408,1.7492963,2.2842152
1.0925149,0.31236774,1.7812885,2.416537
1.0816672,0.3302548,1.5397749,2.3841581
1.0807219,0.4833591,1.5983394,2.3887408
1.0497422,0.41920993,1.6089501,2.40294
1.1407146,0.32763213,1.6355247,2.282989
1.1029217,0.42586255,1.5915271,2.4383836
1.1042224,0.3304465,1.6765577,2.4485507
1.1588267,0.36861372,1.650806,2.418146
1.0945786,0.37749594,1.6536539,2.3684585
1.141804,0.37586072,1.6358331,2.4170027
1.115765,0.39629313,1.5866355,2.3246157
1.1589383,0.36328486,1.7676221,2.3954794
1.0653746,0.268163,1.8440925,2.3421848
1.1375964,0.39050382,1.6319593,2.3941503
1.1225784,0.35578054,1.6683406,2.3977199
1.044572,0.29878604,1.6994554,2.3738308
1.1005828,0.37712508,1.7512141,2.399692
1.0941943,0.31127626,1.6612102,2.39262
1.0915127,0.3266935,1.7130156,2.4126024
1.1198609,0.3577937,1.5276399,2.427555
1.0960298,0.43452442,1.6501766,2.4161284
1.1054715,0.3686792,1.5886571,2.4044042
1.0800261,0.35537252,1.5736889,2.3527436
1.1276531,0.3910627,1.7405137,2.312125
1.1367182,0.44222447,1.6998681,2.4420435
1.0846171,0.3057997,1.7399632,2.4413235
1.1135423,0.33179075,1.6950952,2.4244835
1.0942321,0.34624502,1.7606403,2.5085614
1.11177,0.313974,1.7740362,2.3406813
1.1168915,0.41463166,1.5340089,2.4464264
1.064086,0.32660288,1.805829,2.4576228
1.0840646,0.46053055,1.6335512,2.434966
1.0928943,0.4153524,1.6274127,2.4047306
1.1542943,0.35241297,1.708287,2.3024917
1.0717165,0.40358597,1.7296344,2.3421383
1.1211842,0.31388474,1.7802037,2.4314542
1.0981989,0.23881885,1.6956958,2.3821578
1.1339959,0.3845106,1.6396471,2.475837
1.1268065,0.3281209,1.7249011,2.3845239
1.0744464,0.41679704,1.6460491,2.3962777
1.1200956,0.2859647,1.7772253,2.3570304
1.1133882,0.29149064,1.8826864,2.4423442
1.0893536,0.26799852,1.6968108,2.3398352
1.1253791,0.44362822,1.6248705,2.4214745
1.08148,0.2989532,1.7787029,2.3590775
1.0733612,0.2940104,1.7199675,2.3825567
1.09738,0.36350858,1.80812,2.3760953
1.0917141,0.4317513,1.6118287,2.4067051
1.1512657,0.47144544,1.6177516,2.453076
1.1082406,0.44868597,1.6793072,2.4255562
1.1079727,0.41695988,1.6971409,2.4493134
1.0908375,0.36368677,1.6863574,2.3858767
1.1295079,0.31071296,1.7057962,2.3627434
1.0809623,0.35546723,1.6004456,2.4301434
1.1293316,0.3430847,1.6121922,2.378208
1.1090221,0.42872477,1.5978703,2.408537
1.1113027,0.44426623,1.661156,2.3996358
1.1215022,0.3340459,1.6455592,2.368887
1.1149642,0.42162642,1.5823845,2.3526914
1.1352206,0.4693555,1.6639099,2.3941538
1.0943768,0.44864038,1.6169188,2.46741
1.1069448,0.35330272,1.7157115,2.3251104
1.1063546,0.3290118,1.7559434,2.3303332
1.0907347,0.40466076,1.6534812,2.4007208
1.1001917,0.46144825,1.6382818,2.441199
1.1031612,0.2737429,1.7293342,2.3148537
1.0527126,0.37069005,1.6338687,2.4618578
1.0932652,0.39996523,1.6530565,2.4126983
1.0675962,0.36523443,1.6932224,2.4054737
1.1376139,0.40119898,1.6493727,2.3567283
1.0964229,0.39171803,1.6327238,2.296833
1.0943078,0.39101657,1.671552,2.3821137
1.0948602,0.29046676,1.7603731,2.2956758
1.1018506,0.39555052,1.6849481,2.376692
1.0718387,0.33439368,1.6962421,2.3822563
1.1151804,0.3951286,1.72556,2.4668133
1.0981157,0.33657146,1.6804894,2.3588872
1.0883036,0.25595057,1.6433849,2.3808024
1.0696241,0.41400874,1.5667229,2.43129
1.1118969,0.3647498,1.6166989,2.4068868
1.0882658,0.4049297,1.6420943,2.4595032
1.1081392,0.2778642,1.7665235,2.414223
1.0728595,0.24170423,1.7975075,2.3563764
1.0687654,0.40752023,1.6393954,2.411423
1.1348486,0.28838173,1.776708,2.31522
1.1581692,0.36593947,1.7403421,2.3959656
1.1527075,0.27474266,1.694961,2.375133
1.0724511,0.25248426,1.727928,2.4079955
1.1196216,0.37769663,1.6711868,2.3543558
1.0928646,0.26790825,1.7528443,2.3559308
1.1029377,0.3971149,1.5678985,2.3991992
1.0989984,0.32211363,1.7555217,2.4004548
1.1121999,0.4186087,1.6638011,2.3872206
1.1252201,0.3194042,1.647161,2.3948536
1.103604,0.2680187,1.8807418,2.3476832
1.1021199,0.308353,1.6717873,2.316654
1.1584404,0.2767367,1.7267358,2.3525202
1.1406595,0.3764884,1.6933924,2.394377
1.1129583,0.41881645,1.667722,2.404787
1.043064,0.41316637,1.5589383,2.4613404
1.1172023,0.3344266,1.7291163,2.4072025
1.0917389,0.3557571,1.6178889,2.3882399
1.07629,0.35584846,1.626207,2.3652537
1.1163459,0.38177478,1.6904309,2.3924468
1.1016767,0.4346652,1.6844327,2.4347246
1.1796542,0.3755642,1.6853077,2.3734312
1.12058,0.3424172,1.6800426,2.3447099
1.1086184,0.35408637,1.8289164,2.3257558
1.1426812,0.43606323,1.6399951,2.4341216
1.1061449,0.3863855,1.5622168,2.3256085
1.0881456,0.26841134,1.6685737,2.318432
1.1306763,0.44465923,1.6364585,2.3575935
1.0907232,0.3272896,1.791644,2.431323
1.1607454,0.42270347,1.7223265,2.509006
1.1177042,0.44485715,1.5696348,2.3779325
1.1022431,0.37130994,1.7157663,2.4301198
1.116923,0.4124825,1.576583,2.3902733
1.130525,0.37292886,1.6499039,2.3576152
1.1129522,0.34764084,1.7221249,2.3627872
1.0615464,0.3505047,1.703053,2.3863459
1.1160247,0.39863846,1.6152664,2.3176026
1.0956775,0.39370438,1.5919349,2.39906
1.1194451,0.40162563,1.7733234,2.3900077
1.1053292,0.43299693,1.6050557,2.5493894
1.0672147,0.35840496,1.7614999,2.416456
1.1044635,0.3766069,1.5960418,2.463452
1.1386106,0.29441687,1.7679731,2.3029625
1.1036317,0.31454712,1.817445,2.4057035
1.1157148,0.41781962,1.7134848,2.316167
1.1218201,0.402067,1.6884755,2.4377372
1.0860108,0.39241043,1.6887715,2.390485
1.0952698,0.37984276,1.699076,2.4911785
1.0776993,0.31925562,1.7164717,2.36162
1.1169783,0.44817752,1.5517344,2.4248629
1.0987267,0.3020978,1.7087848,2.3716104
1.1344848,0.37905452,1.6700484,2.394155
1.0551367,0.45715478,1.6027296,2.369591
1.140878,0.3728026,1.7265779,2.5216303
1.1213262,0.4156881,1.5940478,2.4376557
1.1235423,0.3599133,1.565209,2.3507042
1.0957028,0.45937493,1.6494316,2.5019445
1.0807356,0.4094026,1.6134087,2.36959
1.1312447,0.36659735,1.795571,2.39663
1.0577132,0.40052631,1.6670598,2.3522153
1.0699263,0.37540188,1.5143592,2.4172
1.1380433,0.3976546,1.7287142,2.4329844
1.1059111,0.35537496,1.6781601,2.4571142
1.1205803,0.40494704,1.6058489,2.423287
1.0866654,0.3744419,1.6244488,2.4306276
1.1373531,0.46526682,1.6740351,2.3663228
1.0672349,0.41350743,1.6302757,2.4098997
1.0999258,0.31246066,1.6737847,2.4039571
1.125425,0.2750215,1.6846833,2.3381429
1.1057668,0.28507224,1.7384926,2.3754585
1.0800577,0.3810509,1.6034341,2.3190708
1.0867989,0.3637227,1.6131632,2.3945482
1.0963655,0.31578407,1.6226159,2.359635
1.0517703,0.30317932,1.6966274,2.3696399
1.0842153,0.38252848,1.659367,2.4050574
1.144258,0.46600053,1.5727577,2.4466643
1.0842942,0.32447982,1.7971593,2.4685433
1.0653912,0.41075385,1.7522112,2.4157858
1.0560837,0.3442241,1.7040406,2.285451
1.0872431,0.30317694,1.63975,2.3455276
1.1124057,0.4153686,1.6126505,2.4022088
1.1207181,0.322277,1.6805474,2.3936644
1.1159536,0.33628234,1.567573,2.3539767
1.1427791,0.31793863,1.7109115,2.3760293
1.0737513,0.36407664,1.6254569,2.3634799
1.0735996,0.42478818,1.6445814,2.42895
1.0859138,0.30914083,1.7221667,2.4069135
1.1204629,0.31611052,1.6493555,2.4224782
1.1051109,0.44326586,1.6195557,2.5088587
1.0942925,0.3617471,1.6651851,2.3916209
1.052595,0.23569037,1.6931655,2.338055
1.1281315,0.3593818,1.6263494,2.4066746
1.0668011,0.2635174,1.7100073,2.3135295
1.0873858,0.18835631,1.7873266,2.4234068
1.1083318,0.43106452,1.6303272,2.3870635
1.0954264,0.431919,1.5046672,2.410617
1.1216468,0.36059827,1.6607414,2.4406571
1.1107281,0.34929073,1.7019614,2.330743
1.0944233,0.3711041,1.6276515,2.3163893
1.0382729,0.2391211,1.724088,2.3987236
1.0909129,0.3870743,1.7412598,2.3783789
1.0763707,0.34504995,1.6020718,2.4243822
1.1126748,0.4230565,1.5782198,2.390408
1.1253321,0.41683936,1.6545273,2.4246647
1.1072398,0.38811576,1.6134622,2.3206356
1.1379402,0.30624396,1.7530613,2.42901
1.0886953,0.4344314,1.6310226,2.4031355
1.0959063,0.44655856,1.592498,2.4518607
1.1469892,0.44371307,1.6000713,2.3606129
1.1181606,0.39916408,1.6141251,2.4133246
1.0875425,0.39945272,1.5800042,2.3935444
1.1169598,0.36284715,1.5975211,2.3422484
1.0764415,0.38957694,1.6653594,2.478589
1.1059872,0.28610617,1.6930594,2.3500552
1.1302332,0.39953142,1.6450884,2.387345
1.1222855,0.37484667,1.6898341,2.4038436
1.1268442,0.2719174,1.7689117,2.4383092
1.1368052,0.3167852,1.6987622,2.304721
1.0876331,0.35669377,1.6860636,2.4399889
1.128027,0.442921,1.582287,2.36654
1.1101785,0.44744593,1.5377765,2.387139
1.0623287,0.2674426,1.6827713,2.3623407
