sigma_rate,exp_a,exp_b,beta
0.36885583,-1.1583129,0.6214214,3.1933157
0.5553332,-0.9474943,0.9553369,2.4978821
-0.024970666,-0.87196463,0.074045196,3.3203363
0.40625718,-1.2922693,2.0445445,2.4511607
-0.053386066,-1.5896639,2.7805603,2.0238304
-0.38925844,-1.2019844,-0.73050076,2.1322417
0.4195521,-1.2544767,2.8255408,2.7539427
0.036169652,-1.6163224,-0.8277218,2.4619362
-0.24096477,-1.1414462,1.017112,3.3724155
0.41908455,-1.0944742,0.50053144,3.1380467
0.16702601,-1.0813727,1.3406413,0.71347576
0.3960728,-0.56899273,0.809353,2.6799793
0.47005284,0.08816862,1.7026548,2.6973858
0.12051222,-0.7944874,0.31448242,2.8678892
0.94477814,-0.5411386,2.1839526,2.2359273
0.110491484,-0.98693734,2.1808214,2.654074
1.1509298,-0.5411159,0.22242694,1.6389755
0.24778064,-1.9450183,0.64033836,3.3572683
0.46773094,-0.98219484,-0.82261944,2.057382
0.5369203,-1.1618255,1.3903008,2.8915114
0.4284515,-0.64558184,0.06071099,2.5226276
0.63399756,-1.2480098,0.6058265,1.3726493
