sigma_rate,exp_a,exp_b,beta
0.32126948,-1.061033,0.92692894,2.5179887
0.31833866,-1.0727035,0.86169237,2.6054268
0.3354465,-1.0328671,0.9129395,2.5123637
0.3471369,-0.9866599,0.6134647,2.4863787
0.35740024,-1.0209664,0.8241163,2.436872
0.36938477,-1.1157888,0.65936303,2.483536
0.32058632,-1.0417356,0.96495295,2.3918958
0.3075403,-1.0841838,0.8522078,2.4105003
0.33747593,-1.0310856,0.98786837,2.4693606
0.35796335,-0.96769905,1.0859319,2.689352
0.36570776,-1.0673124,0.90345216,2.4743233
0.33666414,-1.0602939,0.9522679,2.490417
0.30218026,-0.93841267,0.91738695,2.3681116
0.38753662,-0.9948005,0.8405579,2.4388168
0.3389875,-1.0920029,0.6575733,2.6365585
0.31696367,-1.1577613,0.7692081,2.615026
0.31888607,-1.0484056,0.82340163,2.6033757
0.363173,-1.0755606,0.6822454,2.4514422
0.34062085,-1.0611991,1.0131234,2.4944158
0.31017664,-0.9533426,0.89073825,2.590054
0.33615044,-1.0107093,0.98628175,2.6861846
0.23171246,-1.0924233,1.0812411,2.596099
0.3995155,-0.8936831,0.9619117,2.4548938
0.2984704,-1.173571,0.8674511,2.4556768
0.30399013,-1.1389458,0.8284896,2.5676417
0.35909557,-0.932216,0.7137563,2.5318854
0.28727147,-1.1306111,0.7527161,2.6427891
0.34471196,-0.99717486,0.7914142,2.6126823
0.36540204,-1.129253,0.7364527,2.4794412
0.3266264,-1.0191381,0.8392689,2.6487684
0.27420402,-1.0118724,1.0190251,2.4203355
0.26619396,-1.0930266,0.92824304,2.5960402
0.3263126,-0.9230226,1.014955,2.499852
0.3631599,-1.0449723,0.75315356,2.4420807
0.29534188,-0.9744709,0.99036354,2.5849028
0.39232495,-0.8528872,0.8499518,2.5623772
0.32218534,-1.0486584,0.6940757,2.6660657
0.25697258,-0.9364146,1.007204,2.6231139
0.31524694,-1.0328394,0.8442163,2.526399
0.32262504,-1.0986245,0.8097847,2.4762416
0.2824199,-0.9678547,0.82786214,2.4522119
0.3837736,-0.939805,0.89275956,2.5835853
0.32789302,-1.0136827,0.8363871,2.648406
0.3496202,-0.9841277,0.7794319,2.6479948
0.40084258,-1.0210799,0.93807006,2.5508177
0.35356796,-0.92174405,0.7577298,2.5578847
0.2927051,-0.95924133,0.89646524,2.5525846
0.26631722,-1.026031,0.90286297,2.5163064
0.38988492,-1.0324956,0.8017461,2.619462
0.2779958,-1.1587329,0.6297275,2.4070773
0.37602508,-1.0676831,0.7404074,2.561406
0.26781622,-1.0095625,0.65295184,2.4896853
0.34527966,-0.91138875,0.8283695,2.5640137
0.3137578,-0.95475686,0.93398774,2.4590383
0.32307395,-0.9593979,0.83005166,2.43074
0.29778597,-1.0331929,0.9169201,2.476276
0.3644796,-1.0462246,0.95242536,2.589827
0.33319837,-1.0414119,0.93467134,2.5614598
0.36463985,-1.0497255,0.80194163,2.5383506
0.37537834,-0.9374963,0.9349691,2.5420601
0.32880223,-0.9563705,1.0067436,2.6425045
0.25553876,-1.1221728,0.6522202,2.5599093
0.32027453,-1.0533508,1.0259597,2.5340881
0.29571941,-1.0046692,1.0763708,2.5067968
0.31985417,-1.0625105,0.7276514,2.6060436
0.36270514,-1.04794,0.7717245,2.6017983
0.30683714,-1.0149971,0.78097445,2.5423672
0.31059024,-0.9062813,0.96018434,2.5447083
0.33293226,-1.0485214,0.6360729,2.4765804
0.30651864,-1.1487433,0.9431706,2.6414847
0.28502375,-1.0602947,1.0087748,2.4920502
0.34416926,-0.9521719,0.675352,2.4923527
0.25524545,-1.1618783,0.8521268,2.4227145
0.2693539,-1.1588372,0.9135016,2.4614122
0.31490764,-0.99011225,0.8176928,2.4780412
0.23779127,-1.1691799,0.79811275,2.500848
0.320516,-0.94710183,1.0437946,2.6433005
0.33101887,-0.99681604,1.0282207,2.5148861
0.38043138,-1.0983696,0.562021,2.4313211
0.25865704,-1.1384579,0.87627566,2.5456538
0.297032,-1.0478547,0.99164253,2.478537
0.32800576,-1.013939,1.0718315,2.577137
0.40552363,-0.988488,0.90429294,2.45915
0.33651996,-1.0950037,1.0570276,2.490462
0.29145673,-1.1428148,0.82986104,2.4547057
0.35112062,-0.96254903,0.7765579,2.4050663
0.25760138,-1.0570651,0.9304813,2.511336
0.3213735,-0.97500515,0.879265,2.4594204
0.32941946,-1.0093344,1.0132005,2.48352
0.3841228,-1.0111237,0.9164276,2.507746
0.3832546,-1.0226341,1.0548164,2.51182
0.3119413,-0.98444414,0.8005185,2.4112983
0.33250016,-1.0905873,1.0195469,2.595096
0.34544685,-0.9741217,0.94761896,2.429194
0.27850956,-1.0848053,0.8718992,2.693706
0.34111714,-1.0573535,0.81349146,2.465114
0.35678685,-1.1820703,0.7407023,2.391337
0.365609,-1.0755084,0.867886,2.3995645
0.3858811,-0.81626517,1.0976102,2.5931365
0.28492883,-1.0693213,0.9308523,2.5806565
0.37891158,-1.0059767,0.88812244,2.5670207
0.3643647,-1.0041848,0.9178741,2.6412392
0.32779038,-0.949413,0.881405,2.5047736
0.3904826,-1.1177108,0.7396935,2.389356
0.31977004,-1.0251284,0.9131668,2.7316208
0.40102836,-1.0147343,0.79044986,2.345731
0.278285,-1.0465294,0.88350815,2.488706
0.3203249,-0.98316187,1.0600601,2.530851
0.32312903,-1.0916569,0.6225407,2.5185118
0.2816942,-1.1074955,0.95717967,2.3800378
0.27376375,-1.038064,0.752349,2.6640937
0.23214109,-1.1053872,0.79442626,2.5534253
0.34183103,-1.0097015,1.0425066,2.54687
0.36466682,-1.0520478,0.8298283,2.4794548
0.27111402,-1.0367545,0.951293,2.480474
0.32196516,-0.912976,0.6739135,2.6283078
0.3532517,-1.0129987,1.0110953,2.6412
0.3272719,-1.0591,0.94754237,2.4705446
0.34131068,-1.0347869,0.8122144,2.542168
0.2717291,-1.0677425,0.85738945,2.7367272
0.28039482,-1.0530938,0.8582388,2.564296
0.33214232,-1.1222236,1.0016422,2.4166207
0.37608048,-0.8686744,0.94643635,2.5752578
0.27002415,-1.0241938,0.88047,2.600604
0.30840307,-1.1019764,0.98844224,2.4756742
0.36774036,-1.0699528,0.728814,2.500975
0.33519137,-1.0340623,0.8121138,2.4210942
0.26954973,-1.0464245,0.9347675,2.6117852
0.28900808,-1.0437645,1.1196939,2.5587955
0.30701363,-0.95682657,1.1034081,2.642181
0.30359137,-1.025017,0.9649241,2.5975173
0.28724805,-1.0738839,1.0174961,2.3897154
0.32662266,-1.073983,0.761142,2.5093431
0.39706317,-1.0569059,0.79456395,2.6257489
0.38588992,-0.94959736,1.008763,2.3501246
0.29017752,-0.9953061,0.94389,2.7156208
0.33935088,-1.0656886,1.2034916,2.4204915
0.32842597,-1.1291045,0.898039,2.5437994
0.37272528,-0.9424013,0.81043565,2.4555929
0.31967866,-1.1230515,0.72612387,2.4816737
0.28802127,-1.0037642,0.74287874,2.4415638
0.3324542,-0.9838138,0.902139,2.5274632
0.37571612,-0.96254027,0.99141884,2.6693525
0.3621062,-1.1357126,0.8266772,2.5564601
0.25911835,-1.1442297,0.83520454,2.4465585
0.3103765,-1.033399,0.86706114,2.4971507
0.27595702,-1.0154651,0.82561594,2.4911714
0.38754642,-1.2243048,0.5146087,2.4592822
0.23555937,-1.2536502,0.8997306,2.523593
0.3824408,-0.9311863,0.90833086,2.6344233
0.32790446,-0.89618796,0.9347995,2.5381143
0.31769553,-1.0271635,0.89733136,2.521628
0.27991143,-1.1099098,1.0763934,2.5290763
0.32645318,-1.0317354,0.6911293,2.4403803
0.37469593,-0.9983246,0.7560631,2.5199358
0.3200075,-1.0138869,1.000738,2.5770953
0.40549633,-0.9322232,1.269944,2.6450667
0.27934405,-1.1041878,0.7986421,2.4967332
0.3417472,-1.1244386,0.97529244,2.592896
0.2998925,-0.98432916,0.6754262,2.528704
0.39790428,-1.0321119,0.66600966,2.4911976
0.30045834,-0.8964374,0.9176853,2.5669582
0.32784286,-1.0648952,0.7326726,2.6888428
0.44272807,-0.9362613,0.5941485,2.484147
0.32086682,-0.9860939,0.9045051,2.4300098
0.32093495,-1.002001,1.1893262,2.6956758
0.312915,-0.9924416,0.8047482,2.525526
0.32069036,-1.0858996,0.9075963,2.6259477
0.33539465,-1.0180684,0.8999528,2.6764395
0.3288685,-1.1298119,0.7609937,2.499775
0.2872458,-1.1217197,0.6675458,2.477058
0.43486083,-0.94071436,1.0011189,2.6045513
0.2938794,-0.975684,0.8418803,2.4986129
0.28477085,-1.1155229,0.88852596,2.5477064
0.31555718,-1.029899,0.9407438,2.6356165
0.31511003,-1.074646,0.6468437,2.4747567
0.26019016,-1.0527074,0.8500295,2.5676806
0.3690306,-0.9678349,0.9945944,2.5598128
0.30326807,-0.9938011,0.64821863,2.5530937
0.401285,-1.0431969,1.1031318,2.4645808
0.3682911,-1.0315422,0.93309325,2.5015786
0.3631152,-1.0673248,0.7437678,2.495169
0.30213767,-0.92411923,0.9406176,2.5992498
0.3335733,-1.1139998,0.9434897,2.458997
0.34885755,-0.97819275,0.75255936,2.5076594
0.3548537,-1.1251808,0.6108788,2.436805
0.31524712,-0.9984698,1.0116864,2.6100638
0.3404502,-1.0537848,1.0414451,2.5044749
0.3824942,-0.9584733,1.0957958,2.5696511
0.3652392,-0.96134037,1.1668774,2.5167365
0.3244447,-1.0202407,0.79961914,2.585716
0.27227128,-1.0373213,1.1317965,2.5945473
0.29211757,-0.9380824,1.0809454,2.7367356
0.22997051,-1.0904942,0.9169522,2.4412837
0.33219576,-1.1675286,0.8075684,2.5040345
0.42370403,-1.087828,0.7877253,2.5624297
0.32680702,-1.0980387,0.8558772,2.5682213
0.3349002,-1.0742464,0.89967704,2.5529346
0.24190259,-1.0421481,0.9398041,2.6566975
0.23648101,-1.1382403,0.7484716,2.4835765
0.3726666,-0.9812192,0.85343677,2.51604
0.33680192,-1.0644287,1.0067232,2.599793
0.39395776,-0.98963267,0.7874863,2.6061187
0.27319276,-0.97836286,0.9863911,2.685962
