sigma_rate,exp_a,exp_b,beta
0.7518967,-0.90967816,1.8993665,3.1540194
1.4193385,0.8312242,3.9509459,2.8621535
1.1066936,-0.674774,2.5063968,2.4795663
-0.1603593,-0.23177871,1.3618011,3.2787695
1.00522,-1.0253808,4.105708,2.4951904
0.08580598,-1.5940561,5.002988,1.9988769
2.322585,2.0681481,3.708738,2.6073909
2.5140212,1.5039011,3.8811932,2.2531164
-0.9528381,0.32850447,1.2065543,2.0999959
2.3429163,1.2919655,3.527815,2.6589255
2.0967596,0.12114676,3.3128998,2.4036531
2.7311041,-0.7583593,2.9848788,1.9370049
2.5667722,0.5243794,3.1279912,2.6906407
1.0318645,-0.95756894,5.1286755,2.7789676
2.244484,0.78345066,3.5467458,2.638961
0.74691707,-2.2988966,1.1410155,2.4422238
-0.6318008,-0.7343456,2.7152739,3.3590336
1.062366,-0.24070947,1.6288733,2.45913
1.4088198,-0.07869903,3.0611546,2.825133
2.0754733,0.92333627,3.9018686,2.6490304
1.8879672,0.2941942,4.3127804,2.7888217
2.1823156,0.5033047,4.6853023,2.5967357
0.8531707,-0.87746054,1.7892878,3.1201982
2.425631,1.0499018,2.9429662,2.2701602
1.5878117,-0.9422784,1.4253459,2.3602347
1.6560799,1.2043349,4.1576033,2.8123584
1.8296545,1.3570229,4.9705997,2.1390784
1.569547,-0.32624453,2.3905177,2.7417219
2.0401003,1.6070944,4.7939477,1.9695511
0.36041343,-0.47288513,3.4947019,0.7836351
