sigma_rate,exp_b,beta
0.8412352,2.0442472,2.4695284
0.7891489,2.0200055,2.403423
0.7891211,1.8655896,2.4349208
0.88995415,1.7417567,2.5157313
0.7890024,1.959979,2.3229427
0.80900264,1.9118754,2.4334056
0.85171616,2.084384,2.3713303
0.731802,1.9640812,2.4178123
0.8981545,1.898802,2.491614
0.85523194,2.0296235,2.4272726
0.8455436,1.8777007,2.4786372
0.94706637,1.9802235,2.551945
0.8439029,2.0650127,2.4261959
0.7606714,1.8381884,2.4704416
0.8806739,1.7530538,2.511353
0.86976546,1.9465997,2.3932998
0.69762623,1.8737121,2.3307495
0.83555245,1.9481252,2.4428668
0.94144297,1.9034315,2.5052233
0.8444016,1.8961159,2.4117742
0.8584335,2.008252,2.5356271
0.81853247,1.9572542,2.363124
0.72773093,2.0658157,2.5005753
0.7648474,1.6643901,2.410721
0.9053585,1.9063245,2.4942298
0.8304515,1.8316615,2.3777592
0.65528584,1.9209559,2.303816
0.7285031,1.9322724,2.3642566
0.85713875,1.759648,2.392937
0.91915435,1.9226463,2.4757738
0.9057778,2.0114782,2.4264042
0.8125877,1.9534386,2.4100008
0.8374635,1.9543161,2.4630005
0.80632216,2.0738354,2.3898783
0.8218394,1.7272158,2.5394583
0.8276088,1.8912152,2.4342852
0.9322393,1.9078422,2.4334376
0.9374557,2.07601,2.4355845
0.80952555,1.9054692,2.4114077
0.9143673,1.8310465,2.4766562
0.7701296,1.9448678,2.3729184
0.8572533,1.896398,2.390201
0.9500775,1.7633398,2.3927631
0.7892783,1.8429579,2.391088
0.8366842,1.8086374,2.4900758
0.86819005,2.1966605,2.4037626
0.76211745,2.148979,2.5454905
0.79243845,1.8365957,2.4042609
0.84717757,1.8803523,2.3855393
0.8340474,2.0368552,2.4190185
0.83917284,2.0781655,2.4196584
0.8234433,1.8186629,2.435784
0.8016836,1.9471167,2.4476945
0.8429264,1.9888262,2.3809366
0.96705073,2.0176373,2.3969917
0.8237805,1.9242531,2.4447134
0.8547541,1.8330662,2.5579443
0.7518818,1.801763,2.5125384
0.8813036,1.729681,2.5230887
0.9341619,1.9453385,2.3823972
0.79164106,2.2887053,2.3415174
0.96906185,1.8718842,2.4971876
0.726462,1.6843889,2.4462702
0.76243967,1.8634464,2.4136846
0.90301394,1.7094799,2.4526794
0.9491906,1.9393411,2.563015
0.8670438,1.9763616,2.433603
0.8049756,1.8400531,2.4403253
0.8883979,1.7098517,2.4161692
0.7757293,2.0868134,2.468975
0.68965185,1.9960629,2.3833
0.9239544,1.8328251,2.518968
0.8767922,2.0658505,2.3857296
0.7715581,1.942003,2.353865
0.8159518,1.9126706,2.3964
0.89623004,1.8880836,2.4692693
0.7682926,1.8536714,2.3386977
0.88779616,1.9918047,2.3901234
0.7434866,2.0027668,2.4334416
0.77363735,1.8965558,2.388807
0.76456946,1.8636227,2.4378204
0.90245765,1.9511732,2.5015771
0.89224416,1.7111237,2.3728418
0.83392966,1.9050314,2.4179447
0.9173064,1.8530159,2.483664
0.9103121,2.0658956,2.3631024
0.89791393,1.9158158,2.520675
0.9139078,1.7650574,2.388633
0.91870224,2.034813,2.4287083
0.8782729,1.946756,2.4687665
0.84128463,2.095006,2.418813
0.7719704,1.7185475,2.4003468
0.7908532,2.057467,2.4164655
0.75866306,1.8542295,2.4341524
0.899632,2.0300214,2.440097
0.902052,2.099206,2.4115522
0.7266559,1.8469998,2.344817
0.74182576,2.0039506,2.500939
0.8048294,1.8652532,2.384849
0.81059116,1.8613862,2.3870604
0.98052394,2.0768375,2.4313896
0.80232704,1.8599926,2.3391943
0.89681125,1.7028451,2.5037007
0.9215562,1.8947052,2.5124094
0.8455456,2.0643983,2.475504
0.8257069,1.9690021,2.4327605
0.7115568,2.0048552,2.3877535
0.9033544,1.9628255,2.475736
0.9039416,1.9746435,2.456773
0.7201718,1.9337023,2.4845307
0.92397976,1.8855379,2.5137548
0.80553305,2.2058926,2.382568
0.8333191,1.829542,2.3953173
0.7468655,1.8332014,2.3778615
0.8845583,1.9631368,2.4470215
0.9160731,1.9005326,2.4309623
0.78858644,1.9658219,2.3650706
0.96952814,1.8790123,2.4417603
0.751154,1.9662083,2.4338892
0.76010704,1.8781592,2.343593
0.87153625,1.7689924,2.4768565
0.91389656,1.8770243,2.476491
