sigma_rate,exp_a,exp_b,beta
1.1383398,-1.0748161,2.8649833,2.1700168
-0.019808121,-0.46730757,1.2679579,3.780176
-0.74169475,-0.6357304,2.4568343,2.2185838
0.9489684,-1.0989724,2.4406672,3.6623514
2.0431092,-0.27930003,3.8620665,3.0782452
1.4462899,-1.2195846,2.9286058,2.7367525
1.499177,-0.63074154,2.9115376,3.198134
-0.352892,-0.89320076,1.4655013,3.0426624
-1.0425005,-0.69641495,3.4633007,3.5513442
1.0450023,-0.8181299,2.6114883,3.1170611
-0.3584239,-0.8522845,2.4274008,3.8532312
-0.4019233,-0.76149917,1.7497185,3.1902122
0.47255588,-0.87594336,2.3124316,3.1734
-1.126376,-1.0748771,0.42760494,3.948606
0.40818435,-1.0411626,1.9239697,3.6800506
-0.15546674,-1.2239096,1.2982838,3.1098287
0.8366403,-1.141417,2.3954284,3.4115968
-1.4749513,-1.2081085,3.3964577,3.0256855
1.1344566,-0.78317416,1.769888,2.6707098
-0.2703051,-1.0750804,3.3109803,3.018206
0.31945798,-1.1645172,4.1382446,2.9403408
-1.2375572,-0.80086815,1.887925,3.2652152
0.26050884,-0.86831725,3.636424,2.5495634
1.4091439,-1.1321491,1.2224573,3.0052269
1.2911413,-1.2213217,2.4311326,2.9846864
-0.97187734,-0.8618975,0.8904348,2.7794409
0.7491966,-0.5024875,4.5054693,3.2540727
1.4332879,-0.8778804,4.6563168,3.378682
1.738124,-1.1539667,3.0241745,2.6571617
-2.018607,-0.57635194,1.0710195,4.3839383
