sigma_rate,exp_a,exp_b,beta
0.5355623,-1.3669442,1.2862401,2.13555
-0.00481273,-0.8023439,0.13128889,3.7547529
-0.3218633,-0.98324305,0.99116665,2.2919614
0.5144186,-1.4059231,1.0049878,3.7321172
1.0831441,-0.69446445,2.0717664,3.0605383
0.75532997,-1.5314512,1.2972703,2.7353177
0.786411,-0.97641414,1.365931,3.1609192
-0.16410737,-1.2537582,0.27427518,3.1374493
-0.5122464,-0.94910604,1.7433383,3.511115
0.55481374,-1.2234957,1.1384107,3.1359055
-0.15924437,-1.1706038,0.9475509,3.8049617
-0.15604624,-1.0379294,0.53156704,3.1914759
0.25045696,-1.1599343,0.9350274,3.178583
-0.5233886,-1.4066092,-0.5034892,3.9718316
0.20676377,-1.2803421,0.65261614,3.6490507
-0.0683862,-1.4170358,0.13157669,3.1720102
0.4219916,-1.4582624,0.9861361,3.4090946
-0.7553464,-1.5009967,1.5674026,3.0496185
0.57811254,-1.0701939,0.5279438,2.6560361
-0.14201596,-1.3741642,1.6291759,3.0548718
0.16470745,-1.5698653,2.185694,2.857234
-0.62104934,-1.175285,0.6631386,3.2256145
0.16039588,-1.1289432,1.8524107,2.5207002
0.7021914,-1.3662443,0.06320896,2.9748816
0.6669468,-1.5042557,0.9758573,2.9962175
-0.47308174,-1.1524377,-0.08183598,2.7538571
0.3884667,-0.7973089,2.51862,3.2065105
0.7654503,-1.2861123,2.4114878,3.3365836
0.86417145,-1.4896959,1.3247802,2.6709611
-0.96694154,-0.96040535,0.028466871,4.3648973
