sigma_rate,exp_b,beta
-0.033057794,2.6054275,2.973294
0.015469002,2.611123,3.0033443
0.009589704,2.9483776,3.0569723
0.028270336,2.5762496,2.9745417
-0.01192147,2.2719622,3.0571878
-0.0551195,2.7616532,2.9211903
0.0042062383,2.7646062,2.9364216
-0.060853213,2.8044765,2.8617978
0.03005865,2.6725187,2.8714862
-0.16954073,2.410721,2.8829348
0.059797727,2.8009624,2.9598598
-0.06805855,2.7364285,3.015941
-0.027297154,2.7792814,2.9855816
0.0084846895,2.609816,2.8862135
-0.07608483,2.55271,2.8786662
-0.0021844618,2.6027238,2.9205835
0.054100893,2.755551,3.0262196
0.014268829,2.556726,2.896789
-0.004416786,2.8606415,2.9935207
-0.039132167,2.8935368,2.8975012
-0.083567895,2.980012,2.9269693
-0.024167819,2.7324686,2.866441
0.0075083952,2.5082781,2.9197042
-0.020717671,2.867355,2.9057806
-0.00094815344,2.2545664,3.087032
-0.042673662,2.5860214,2.929086
-0.04868091,2.8328285,2.9845397
-0.039216213,2.673151,2.9066677
-0.061005354,2.2495375,2.9123528
0.026868047,2.9344559,2.9425907
-0.051763676,2.7490768,2.9676085
-0.032293152,2.493427,2.8499093
0.024620915,2.695379,2.8950398
0.008995911,2.3833754,2.9253407
0.058605477,3.1183968,2.9778285
0.0544791,2.6991737,2.9731524
-0.054466244,2.8419085,2.8942776
-0.085155465,2.7032185,2.9108715
-0.054474667,2.6539617,3.0194163
0.0032302644,2.7196321,2.905619
-0.018075109,2.6537857,2.9010303
-0.03798677,2.5737839,2.9507911
-0.05654835,2.5568717,2.8017726
0.03135723,2.9004881,2.8118272
-0.058446817,2.4872918,2.8046415
-0.055821642,2.4016726,2.95371
-0.06530352,2.880909,2.9694664
0.0279943,2.8053098,2.94838
-0.041229114,2.9020224,2.925836
-0.030662121,2.7444546,2.9111629
0.024691498,2.7743917,2.9319217
-0.07517124,2.6796348,2.8836656
0.03299821,2.7274697,3.0162878
-0.0013931245,2.913971,2.8932652
-0.048253223,2.6186297,2.963649
-0.03735278,2.5834732,2.891349
0.0034420062,2.7428079,2.9800684
-0.007386539,2.710165,2.9511232
-0.015269101,2.808289,2.9133906
-0.041375253,2.4969466,2.8158507
-0.112229936,2.3263965,2.870942
0.0017481558,2.7392561,3.0223267
-0.046818517,2.5778487,2.7632284
-0.04219631,2.4282763,2.8947785
0.0042621735,2.6211743,2.9347692
-0.04130724,2.748812,2.9962568
-0.04136028,2.6972477,2.9350104
-0.017941914,2.910565,3.0054457
0.001532279,2.8639917,2.995918
-0.0024866369,2.6426435,2.9567783
-0.08131658,2.8607402,2.8450906
0.022554966,2.8251967,2.905235
-0.020079244,2.3836687,3.0084395
-0.08177466,2.5151377,2.7949595
-0.07827916,2.550619,2.8706024
-0.03386935,2.8143544,3.0101473
-0.01989889,2.6723125,2.9902112
