sigma_rate,exp_a,exp_b,beta
0.71664226,-0.12736574,2.3628163,2.682365
2.1022754,1.3324324,3.7576072,2.9272192
0.8607904,0.6284871,3.9268672,2.6726186
0.22938517,-0.33276817,1.6870996,2.9407163
2.0634785,-0.15856598,4.490042,2.2131002
0.24798574,-0.6444026,4.209499,2.6553195
2.5654829,1.3790286,2.5125463,3.0248597
2.9367766,0.6359409,3.3146272,1.9106799
2.810757,0.49109462,2.143226,1.523012
2.268518,0.9210141,3.5621629,3.1153994
1.9343424,0.43377376,2.954798,2.2285461
3.3447423,0.91763985,1.1903512,1.9680039
2.0905383,1.1080607,3.434193,3.5807576
1.3995266,-1.9072483,2.8783612,3.4326568
2.1213021,0.48959273,3.4372022,3.1228876
0.8937041,0.39272228,0.34157383,2.0962176
1.2372164,-0.92649174,3.1832829,2.8895352
2.0812042,0.019857682,3.0754774,2.3838983
1.0254471,0.47243798,3.7744298,2.4372184
2.542192,1.0226748,4.0577936,2.179597
1.5629231,0.2832385,4.3482237,2.5763597
2.0878956,1.213803,4.8743663,2.1151924
0.81886494,-0.0489382,1.2761874,2.5083957
2.6625936,0.35224742,2.6039157,2.1042576
2.25533,0.9386761,2.3354945,1.7687521
2.3419023,0.6913083,3.2649772,2.3829489
2.2765226,1.3764895,4.857538,2.4696476
2.4175954,0.833218,4.170453,2.202109
2.1347694,1.1466073,3.997825,1.3628368
1.9994984,-1.1863016,2.754762,1.3070899
