sigma_rate,exp_b,beta
1.1970116,1.7090994,2.2910492
1.2130783,1.724761,2.4086654
1.207137,1.6990787,2.2671483
1.1972811,1.6728762,2.406018
1.2102486,1.6300347,2.3895388
1.1582241,1.6938514,2.3586388
1.1948632,1.650548,2.2958171
1.1506606,1.5881621,2.3635967
1.2052044,1.6715935,2.4173157
1.0972822,1.789292,2.2418208
1.1402718,1.7657651,2.3358414
1.2344313,1.764998,2.284333
1.2019272,1.6734278,2.3262646
1.3008611,1.6404899,2.2238986
1.0893474,1.8280164,2.2975464
1.0225834,1.6708639,2.4300046
1.1364998,1.6975431,2.3621137
1.1147025,1.6419723,2.2742727
1.2939793,1.5849345,2.2406383
1.1215872,1.6014643,2.3780227
1.1129102,1.8225088,2.3509147
1.1124693,1.563507,2.3736267
1.2592177,1.7539037,2.3290093
1.1851649,1.6063025,2.4236736
1.153927,1.6061014,2.2763486
1.0827061,1.7471769,2.3511412
1.2175757,1.4820932,2.3242404
1.2309629,1.6916643,2.407513
1.242433,1.4848697,2.2114375
1.1349032,1.6027778,2.399524
1.0133225,1.8137108,2.389309
1.234569,1.6812624,2.1817222
1.2126112,1.5960472,2.3283067
1.1896847,1.5440452,2.3898966
1.0489717,1.7357949,2.389676
1.1619862,1.7151064,2.3113225
1.1934931,1.5765907,2.2683592
1.2531372,1.6339443,2.288299
1.2025265,1.5766001,2.3311503
1.0989269,1.8730366,2.332562
1.1950653,1.7286912,2.2525392
1.2112132,1.5932219,2.254808
1.1321265,1.7368503,2.4249706
1.0911288,1.692317,2.4362772
1.2548923,1.6570641,2.363955
1.250775,1.6697104,2.3417845
1.2049491,1.560744,2.180042
1.2824944,1.7007457,2.296535
1.1804894,1.6363735,2.2525551
1.2077135,1.6290995,2.186648
1.1288154,1.7933803,2.3151896
1.2159799,1.6883001,2.374034
1.0791372,1.4711547,2.3198402
1.2202435,1.5378517,2.214763
1.1100143,1.7449266,2.3456619
1.2396623,1.6396607,2.3848174
1.160783,1.6055775,2.2500339
1.2635342,1.6115491,2.249281
1.1838984,1.5350101,2.3076165
1.1770449,1.6827555,2.2881458
1.2358049,1.6018513,2.3603609
1.0892738,1.7214268,2.4394908
1.1445543,1.7861989,2.3239794
1.1189542,1.6587431,2.4150515
1.114699,1.7254739,2.352969
1.020431,1.7896075,2.4149542
1.1055162,1.7132685,2.43989
1.2051082,1.5115283,2.3319564
1.1843069,1.7469342,2.3376625
1.1052476,1.752271,2.35048
1.2611787,1.6696666,2.3404126
1.2352931,1.5771338,2.3544993
1.1604434,1.6711669,2.3277617
1.0088884,1.8594944,2.4207559
1.1582515,1.6532608,2.2867599
1.1954436,1.7439846,2.285068
1.1078194,1.692249,2.4075978
1.1216867,1.5717269,2.349456
