sigma_rate,beta
1.3307691,2.1475668
-2.3122573,3.496545
-0.45398313,3.9410114
2.0070577,3.3705063
-0.5077977,4.1298876
1.9299983,3.060078
2.9690607,3.4122114
-1.0216908,2.2537737
-0.3825614,3.3236732
-0.084078364,3.2574925
0.1558332,3.2825918
-0.7090253,2.2914162
1.5704435,3.0620248
-0.71707714,3.9379742
1.2325011,3.8046446
0.6025125,1.2590597
-1.0993859,3.934384
0.117483065,1.6341488
1.2170336,3.0500937
-2.4573686,3.5714507
0.90507877,3.5023007
-3.2304602,3.4337292
-1.373294,2.8717349
0.8441101,2.9941914
2.9376137,3.2490647
-2.8513758,3.5165987
0.6969194,3.415059
-2.476311,3.4264202
2.8615468,3.4005823
0.74703276,2.8806856
1.7716821,4.091085
1.1063743,4.579451
-2.530293,3.283094
0.4664028,2.810758
0.88993025,2.9080048
0.52869785,2.1167514
0.5912038,3.3564594
-2.684115,3.5334961
0.55260444,3.132367
-0.8160718,2.766871
0.047214914,1.9469609
-1.0995675,2.6981852
-1.3000025,2.7709613
1.5623332,3.1577294
1.0719783,2.9481702
-1.6658512,3.4446855
0.3729791,2.041912
0.47826958,2.8705862
1.103661,3.6321373
0.23254177,2.534071
-2.370339,3.5589569
-1.8439023,2.5192256
-1.4998516,2.6699793
-0.22231804,-0.48660427
-0.035697583,2.9276855
-2.5117264,3.4637313
-2.4606113,3.4889812
-0.8118634,2.0436113
-0.29683638,2.3795795
-2.4353714,3.518644
-0.7233168,2.767701
-2.1584704,1.6276789
0.91812897,3.6866093
-0.9103584,2.723752
0.8725953,-0.13470194
2.83855,3.395753
-2.5959616,3.5160205
-2.737561,1.9237332
1.2903365,-0.27097663
-0.32459575,3.2758381
-1.1286608,3.8546576
2.154575,3.427624
0.31389037,2.9167137
1.2100934,2.1549544
1.3440408,3.3042293
2.7108665,3.3723292
1.7664605,2.9756236
-0.37987968,2.857774
-1.2224723,-0.825302
1.0426589,3.2733016
-3.6525798,3.702702
-0.38612267,3.5858753
-0.7475032,4.0328445
-0.6445675,2.2789583
-2.3547866,3.4897215
-0.73854107,3.1593404
0.7013692,5.0325665
0.700965,2.3837676
-0.3110621,2.731361
-1.1305617,2.4296527
-0.738003,3.1387339
1.3224914,2.9309778
1.5311948,1.7345418
-2.7367194,3.557918
-1.3691442,3.4596407
3.0853238,3.3024333
-3.8249865,0.67316186
1.0314662,2.7163064
-3.474891,3.8032794
-0.067776136,2.8869278
-2.282783,3.465334
-2.6562061,3.4514174
-1.7941835,3.2819455
-2.448627,3.4614427
-2.3575852,3.5822449
0.52214664,4.26603
-1.1604655,2.7960742
-0.26008692,3.975222
1.3667287,2.8067565
0.5191634,2.6559815
-2.173941,3.179419
1.8019468,3.6237493
0.9890649,3.4273703
-0.4743334,3.8667529
-2.3664584,3.4970422
0.15191032,3.2767787
2.7753444,3.460823
0.74539375,3.4952567
1.2820097,2.773965
1.3865656,3.8018377
-2.4314492,3.483274
0.009653046,3.5443258
-1.2900391,2.407339
-0.65350515,1.7488568
-2.6323996,3.4689765
-0.58154863,3.6115618
1.395087,4.4030504
-1.0668586,2.7085373
0.7467375,3.078018
-1.4294579,3.2318037
-0.1512661,3.4678845
0.4959621,2.8263454
-2.5816467,4.5138636
-2.550352,3.4167767
-0.65015686,1.8054866
1.0272715,2.3809514
-0.8555198,2.8971894
2.8307514,3.425685
0.08964397,1.5144416
-0.5461017,3.0849943
-0.7387925,2.6917167
-0.26351097,-0.2867886
-1.4218092,-0.4385827
-2.5858922,3.5165553
1.2503371,2.3602774
3.1500678,3.2865753
-0.22327006,0.29354376
-2.345758,3.5527537
-1.4467038,2.6028767
2.9616673,3.3191605
-1.0935899,3.6510606
-0.4413007,3.0096998
2.8353534,3.3638911
-0.9880654,3.7489345
-2.6224432,3.4772038
-1.2679076,3.850625
-0.5747086,3.2030334
0.09911728,2.417216
-2.3736506,3.493197
-2.0787303,2.9049664
1.0106777,3.403425
-2.5277896,2.338573
3.0332856,3.282943
-2.0622942,2.7474842
0.93084574,2.9773679
-3.6668541,1.764125
0.34626544,2.131037
2.9826,3.341273
-5.7162647,4.8411546
2.516939,2.4335077
0.78274006,3.6648374
-0.23035195,3.9037828
-4.329691,4.2030306
1.0502872,2.1378136
0.06763065,2.7085674
1.0792493,4.4773583
1.6240218,2.2900913
-0.48968747,2.6980703
-2.9021237,3.5226753
1.2368706,2.8696291
2.994682,3.361257
-2.3818932,3.5382662
3.1085708,3.406294
1.1696169,3.1172197
0.42147946,3.3957129
1.121172,2.8752098
1.8513812,4.407689
-2.8301861,3.5035238
-0.3048286,2.091982
-2.5420258,3.3930993
1.6479269,3.7530103
-0.82988197,3.1744816
-0.6771547,2.2865057
-1.6892403,3.602013
-0.44689384,3.254071
-2.5411038,2.413853
1.4235772,4.4430814
1.2386204,4.635082
-1.6376214,3.7488708
-1.6765319,2.8817866
1.0890132,3.3516223
-1.1232908,3.150603
1.364852,2.658927
-2.5835648,3.4122794
-0.027177736,2.7314172
-0.2956894,3.1218987
-0.5437373,2.1205852
2.032547,2.5531242
2.8669016,3.4346843
1.1375839,4.4232683
-1.0876024,2.7313895
-1.838033,3.4816709
-2.6163688,3.3315332
0.99757785,3.2030988
-0.7819491,0.832004
-2.6504314,3.4979737
-1.4114898,3.289816
0.08066384,2.8757167
-2.1733348,3.4691281
0.34081236,2.148273
3.5108507,1.65813
