sigma_rate,ln_a,beta
1.0722159,1.1091748,2.8239117
-1.0274704,-1.1909312,3.6614811
2.3421564,-2.6610742,3.6821995
1.9580351,0.6254951,3.409091
1.3921287,-1.4305123,4.121482
2.0626376,0.3051785,3.227154
3.20218,1.5691262,3.4154553
-1.062108,3.0723386,2.681804
1.4576524,-1.4191916,3.4864013
3.3479774,-3.3379664,3.189539
2.4493165,-2.0479321,3.3383749
-0.079620935,1.3445299,2.903632
1.5382622,0.60057276,3.466643
0.7966671,-0.8858794,3.848068
2.4472632,-1.001818,3.8934128
0.008801817,4.239094,1.8677021
0.44836476,-0.9108786,3.8798444
3.0100338,-2.746206,1.617808
3.6719496,-2.3686607,2.9795566
-1.0190439,-1.6227355,3.611274
2.2271967,-1.0727348,3.8121738
-1.7361492,-0.9389042,3.7511377
-1.1789304,1.9060808,3.87064
3.4196823,-2.4811308,3.0124109
3.034095,1.4294714,3.4563584
-1.1319863,-1.5936745,3.5943055
1.6371412,-0.48379442,4.3325925
-1.0480433,-1.3278515,3.5188966
3.0473692,1.5387932,3.466604
3.140912,-2.2473624,2.9572697
1.8394139,0.45632103,3.6169255
2.9302206,-1.7106906,4.423139
-0.92522496,-1.0575954,3.6724494
4.1225214,-3.62019,2.8038666
4.14914,-3.2223434,2.855318
3.5014837,-2.8495657,2.085446
3.568871,-2.8799956,3.3392568
-1.1099952,-1.6922026,3.6654382
2.6276681,-1.9149373,3.2680454
-0.62387055,2.433088,3.8802755
-0.53509104,6.159421,3.6301963
-0.7463416,2.0687304,3.1596944
-1.5042833,4.0052934,3.9077508
2.1754673,-0.20121418,3.4919417
3.4739373,-2.273419,2.9455757
0.6930303,-2.1227603,3.49408
2.7036562,-2.0633483,2.079563
2.3834236,-1.6690694,3.0779383
3.2945693,-2.0837016,3.6171494
3.5107832,-3.1463127,2.5165312
-1.0627071,-1.5250869,3.2611797
-1.2983776,1.929014,3.2216964
-1.7155416,4.556428,4.208929
1.1088581,-0.366926,-0.46321633
1.5628084,-1.0938339,3.2622514
-1.0192958,-1.233664,3.5662742
-1.1164224,-1.3788748,3.5045152
2.2483964,-2.9818919,1.9993609
0.7722589,-0.2733853,2.5924041
-1.1454188,-1.5045838,3.5263982
-0.37634462,2.6477683,4.2600465
-0.7374054,0.6573783,1.8320425
2.9473464,-1.8674688,3.80552
0.74750346,-1.1259012,2.7728698
1.301053,0.6363063,0.18087547
3.0447822,1.4260914,3.4342103
-1.1978523,-1.7747892,3.5557191
-0.98735076,-1.648005,1.8696854
1.1112684,1.3684442,0.25370944
1.489914,-1.3632464,3.3005702
0.17903909,-0.37736294,3.9421904
2.0132048,0.700121,3.449824
2.7997162,-2.341139,2.9885628
0.39190176,2.585204,4.670676
3.5752647,-2.133115,3.2086816
3.4167926,1.9121578,3.1519856
1.4930313,1.1137552,3.7214494
1.833185,-1.9093121,2.9616992
0.22250457,-0.17382461,-0.62530327
3.0429695,-1.913765,3.2583184
-1.4206294,-2.4922464,3.7979836
1.9121088,-2.0901542,3.6373265
0.41057363,-0.139622,4.5590506
-1.3076583,6.0149803,3.7877352
