sigma_rate,exp_a,exp_b,beta
0.8514002,-0.7822822,2.6227627,3.103088
0.30786335,-0.98721725,1.4363117,3.3915823
0.49203584,-0.84065753,2.8583171,2.3132496
0.70662254,-0.98767024,1.8330895,3.4823017
1.8164638,-0.048931945,3.9527395,3.5829139
1.1599435,-1.3629981,3.0013976,3.613706
1.6652586,-0.43387684,2.7510219,2.748097
-0.2667416,-1.1320114,1.1184664,3.662143
-0.9496793,-0.4891829,3.0538914,3.8932595
1.0333292,-0.7862473,2.54724,3.161488
0.019858476,-1.4514114,2.5197983,3.6034887
-0.29965663,-1.0387954,1.8962698,4.0339403
0.2887405,-1.0611835,1.2025263,3.0594933
-0.72185224,-0.9545395,1.3822216,3.1192033
0.48170108,-1.3466786,1.5882945,3.2530625
-0.062253017,-1.3365784,1.5870258,3.1104276
1.0676733,-1.1601933,2.6891043,2.8578126
-1.2398213,-0.9593264,2.5740762,3.0745685
2.1925857,-0.744076,2.4114528,2.6493871
-0.15100305,-0.9298406,3.2089956,3.039052
0.36096883,-1.3942552,3.7781937,3.1076028
-1.3995615,-0.9306046,0.97089195,4.1105413
1.1641558,-1.3962469,2.3537378,2.3677974
1.7469087,-1.4836913,1.4730684,3.3148482
1.8626842,-1.2156229,2.6741068,2.8457696
-0.645873,-1.6729674,1.3979582,3.1752112
1.0326524,-1.0040774,4.006579,3.810211
0.99680465,-0.909872,3.722953,3.1992197
1.4775046,-1.2578094,2.6387804,2.5913124
-1.9191846,-1.2545161,0.7092644,4.480158
