sigma_rate,exp_a,exp_b,beta
0.45718238,-1.010456,1.1698016,3.0927875
0.18050608,-1.217113,0.28308865,3.4392767
0.26269838,-1.158852,1.3274533,2.3694944
0.3685598,-1.2062726,0.5761323,3.4658499
0.9763697,-0.46534687,2.1343305,3.5636322
0.64117754,-1.6712809,1.4141023,3.5314355
0.87267655,-0.71682465,1.2265005,2.7380993
-0.09929049,-1.3783166,0.033366796,3.6635754
-0.45289558,-0.77233636,1.515825,3.833576
0.51269,-1.1065432,1.065317,3.1599333
0.012668748,-1.7094223,1.0567058,3.5405705
-0.13280837,-1.3340077,0.631771,3.9962397
0.21980551,-1.3311124,0.09678838,3.0736597
-0.35489485,-1.2441958,0.26420748,3.0706859
0.23073666,-1.5448958,0.39550692,3.2679172
-0.0023799925,-1.6094824,0.35663956,3.1032562
0.5820582,-1.4697031,1.1682187,2.9501672
-0.61268616,-1.3127326,1.1016276,3.0153334
1.129105,-1.1184721,1.0056328,2.6733935
-0.07718457,-1.2132876,1.4791707,2.985814
0.23465234,-1.6599685,1.9754087,3.0865152
-0.6973746,-1.2666161,-0.093993425,4.130109
0.5169817,-1.6122363,0.82120305,2.386188
0.83174235,-1.7595185,0.25345817,3.353445
0.9266995,-1.5314847,1.0994996,2.8754933
-0.3170745,-1.825648,0.22599815,3.1447573
0.5549893,-1.3622026,2.0935133,3.9600046
0.5530271,-1.2147219,1.9186904,3.2326772
0.7223143,-1.5088304,1.0867175,2.6035442
-0.9139699,-1.5384586,-0.25910288,4.424453
