sigma_rate,exp_b,beta
-0.03291849,2.3947008,2.9865458
-0.05029136,2.5486696,3.0148716
0.039348267,2.3722713,2.9438581
0.010486607,2.4404256,2.863603
0.05175236,2.4246361,2.808123
-0.039394166,2.3743927,2.8693101
-0.029531289,2.5021317,2.964845
-0.028567147,2.443014,3.0395548
-0.023187678,2.4033828,2.8558838
-0.022926327,2.4537754,2.964192
0.05591809,2.307222,2.8995245
-0.025028847,2.380561,2.895004
0.060151774,2.786385,2.9238932
-0.017885048,2.4578447,3.032194
-0.0695659,2.5256011,3.0136676
0.04579458,2.5441263,2.9789197
-0.05399186,2.4205742,2.8628936
-0.04199057,2.698669,2.9570837
-0.0025825752,2.2722218,2.8862839
0.09072034,2.5212488,2.955646
0.042032577,2.461898,2.9485912
0.028687775,2.5615373,3.008099
-0.0082766125,2.3426147,2.9431367
0.09529762,2.4843285,2.9588044
0.09125723,2.3913476,2.9868393
0.104388274,2.3499568,2.9057062
0.07207268,2.2999887,2.8914115
0.038479883,2.5582886,2.9786875
-0.031225216,2.3902617,2.9973493
0.026140418,2.427552,2.9151285
0.07330053,2.5062234,2.8958385
-0.0020623738,2.2598376,2.9888928
-0.0070809172,2.4016159,2.9711344
-0.08524514,2.5863702,2.920438
0.009950505,2.4428747,3.0001664
0.034283835,2.686183,2.8642383
0.020017296,2.3961015,2.8519993
-0.022461038,2.781999,3.1285787
0.00941711,2.63984,2.9868248
-0.028883178,2.3700776,2.9442978
0.03659661,2.4580886,2.8543334
0.03532232,2.4873374,2.89858
0.0667111,2.7810357,2.919997
0.057708066,2.4122055,2.9763827
0.027614202,2.6416454,2.915182
-0.010407827,2.4125814,2.9320393
0.031152252,2.4517567,2.9896097
0.058741592,2.570479,2.9401774
-0.03323504,2.3519607,2.852112
-0.0044368515,2.5043776,3.0048876
0.02564968,2.308858,2.9800668
-0.02625629,2.6437721,2.8266344
0.03280963,2.6930168,2.9736874
0.054939505,2.3794522,2.9862812
0.015712595,2.414604,2.929661
0.017213244,2.5270553,2.9405804
-0.042447407,2.484205,2.9505544
-0.0058499174,2.2514915,3.0019011
-0.020436227,2.3841343,2.9303033
0.052129366,2.4859848,2.9540284
-0.01936477,2.418731,2.8850517
0.018724684,2.0873888,2.97416
0.09017399,2.4261205,3.0391858
0.046901338,2.3498163,2.8680718
0.061575998,2.2984424,3.0167873
0.087392695,2.4568822,2.9159086
0.027626306,2.6107821,2.957428
0.018608764,2.4686704,3.0077941
0.019007022,2.482925,2.9956844
-0.004473499,2.6389582,3.0328374
0.04786645,2.9391031,3.0611825
0.03363144,2.6291976,2.8255832
0.024358448,2.1670651,2.9259229
-0.013198941,2.4769485,3.0299196
-0.005755347,2.6077602,3.037268
-0.0028287051,2.3802588,2.8695607
0.08816766,2.5990129,3.0155869
-0.008753159,2.2640088,2.90984
-0.08359131,2.18724,2.9189785
-0.039520275,2.3987563,2.9738224
0.05938661,2.4938927,2.8981786
-0.1642708,2.4417973,3.0330186
0.04918892,2.6546197,3.0595033
0.0312041,2.365476,2.9043324
0.11171253,2.3741708,2.9006548
-0.012499818,2.3972025,2.9388177
-0.06256616,2.505699,2.95658
0.068142444,2.6896327,2.9744844
-0.008626482,2.5853615,3.010811
0.05428576,2.323255,2.9215853
0.023774758,2.5047371,3.0762272
0.020140758,2.4156504,2.9626527
-0.016372513,2.5093842,3.060286
0.028087635,2.7880547,3.0200994
-0.09735189,2.7932103,3.0616438
-0.08148551,2.3959339,2.903973
0.039563145,2.47388,2.8392181
-0.0589645,2.2979121,2.9386725
0.008415399,2.3713293,2.9939651
0.003654074,2.8195038,3.0986195
-0.013055413,2.4917192,3.030311
0.01750178,2.6260498,2.991208
0.01385825,2.6040473,2.933646
-0.06968295,2.467828,3.0888202
0.00022539776,2.6074772,2.8529632
-0.038680006,2.6157322,2.923978
0.011596996,2.3170793,3.0511208
-0.07110275,2.4368448,2.9786065
0.022380445,2.6223137,3.0225508
0.03631817,2.4083664,3.0457516
-0.001691388,2.6435905,3.0746496
0.105430305,2.2948112,2.9271
0.07673719,2.518107,2.8280807
-0.013308973,2.442743,2.8686588
0.072904445,2.4168875,2.9157388
0.019570438,2.7169132,2.9062243
0.023745107,2.425768,2.8712232
0.03665428,2.1959891,2.8996246
0.009794019,2.8562741,3.004608
0.028752973,2.5565057,2.8823593
0.04494123,2.7116177,2.9938245
-0.02402145,2.474866,2.8447895
-0.08887942,2.5647137,2.996419
-0.016972039,2.3804934,2.8897696
-0.018100068,2.4496117,2.870175
0.118624054,2.3901775,2.862448
-0.015353159,2.3314967,3.012669
0.022623457,2.397235,2.8958194
0.09108384,2.0994546,2.8371887
-0.0058202734,2.5738816,2.9149451
-0.021372475,2.3811479,3.0270734
0.0021946914,2.4729197,2.9610782
0.046728957,2.3409183,2.9306333
0.10829011,2.556537,2.924093
0.05364843,2.4835367,2.920046
0.09692782,2.5805798,2.9318366
-0.01817185,2.1550956,2.940949
-0.023489669,2.6621525,3.0017333
-0.04097397,2.488713,3.0351257
0.09930041,2.2073216,3.004259
-0.043426793,2.6402974,3.0201478
-0.054236487,2.494357,3.0399153
-0.002286096,2.497346,3.0991223
-0.036781266,2.112088,3.044414
0.04684587,2.226956,2.8871357
-0.124405175,2.3254802,3.0507429
0.041140433,2.3538632,2.9037292
0.039965328,2.3255818,2.913119
0.021697672,2.4514494,2.90636
0.035269264,2.4544857,2.9684076
0.0953573,2.7455792,2.9557087
0.09213754,2.4977946,2.9819217
-0.033094116,2.559863,2.9531221
0.039775647,2.9773464,3.1208415
0.032287896,2.1840398,2.8251805
-0.04066321,2.5864024,3.0918944
0.09968184,2.4974542,2.996236
0.019347003,2.2488859,2.9833527
0.017930292,2.5310826,2.9839034
0.084197216,2.1573224,2.8126245
0.0071611023,2.7022479,3.105181
-0.025471803,2.4738572,3.044222
-0.018984057,2.117873,2.8942947
0.039633393,2.3844416,2.8830252
0.023014631,2.4098074,2.9767146
0.014070988,2.2593904,2.8326485
0.008731663,2.5559468,3.110254
-0.013712571,2.4907749,3.0373356
-0.003413166,2.7448444,2.954829
0.015194094,2.6387975,2.900707
0.10090535,2.5350585,2.9821281
-0.049363412,2.3785374,2.825
-0.022076964,2.4314415,3.0009031
-0.003839952,2.4948611,3.0006924
0.016402517,2.6389751,2.9728627
0.06345117,2.6824653,3.0179965
0.093692176,2.6791022,2.9388614
0.034057353,2.372279,2.858893
-4.7607347e-05,2.3031864,2.9057636
-0.03551789,2.2421017,2.963879
0.016382594,2.2290716,2.8627317
0.001464311,2.4619951,2.9992604
0.08900522,2.5166762,2.9149199
0.02213686,2.7071724,2.9429479
0.08779967,2.312733,2.9799583
-0.0112949265,2.7137282,3.013247
0.0358138,2.5181215,3.00319
-0.027673427,2.1675003,3.044967
-0.018049393,2.229099,2.9497368
0.07639143,2.3998752,2.8768868
0.026112149,2.3886373,2.9495444
0.023070106,2.418454,2.942792
0.05713849,2.7178135,3.031031
0.10577344,2.408862,2.92394
0.04256275,2.3599074,2.9266977
-0.061518945,2.4707885,3.044774
-0.00022673048,2.8257136,3.1086037
0.10950603,2.4474454,3.0070848
0.019165246,2.5654314,2.9411554
-0.0022499776,2.3287258,2.9040153
-0.008130101,2.5330575,2.8515382
0.011809005,2.4203045,2.9740841
0.0706155,2.5266275,3.075129
0.057251483,2.6810136,3.0006871
0.0003557615,2.3889778,2.8872185
-0.0047447765,2.3371782,2.8711631
0.05964876,2.681116,3.0481634
0.043399725,2.4754348,2.938262
0.04021852,2.4987545,3.000647
-0.0308315,2.4176815,2.9631553
0.05728076,2.371688,2.8690946
0.017065551,2.5552318,3.111766
-0.011649256,2.3516877,2.9853861
0.027437478,2.2341537,2.951264
0.046113085,2.4757624,2.9230843
0.08444005,2.4804606,2.8784552
0.08391277,2.537436,2.8602974
0.02761814,2.3074217,2.8835697
0.042811606,2.696685,2.9978836
-0.012591853,2.4704154,2.933397
0.036620192,2.7050931,2.9667518
0.031022437,2.56592,2.9136953
0.030413665,2.524597,3.0852885
0.053873796,2.448462,3.0587919
0.0613775,2.3355575,3.0650103
-0.03954165,2.6210537,2.9764404
0.0007521324,2.4885347,2.937745
0.056215193,2.6990604,3.005695
0.06693695,2.2987485,2.9042916
-0.055955127,2.374148,2.8889449
0.019420158,2.5753922,2.8902953
-0.08856421,2.627373,2.9885955
-0.04744941,2.4745603,2.9072952
0.05450627,2.704627,3.1023614
0.08800821,2.50676,2.9104548
0.040370043,2.672539,2.97826
-0.06502165,2.3202937,2.9063375
0.026650887,2.5829322,3.1132197
0.029959038,2.7264428,2.9518056
0.06270478,2.3364813,2.952091
0.14875065,2.8157418,3.0547235
0.027064426,2.5164561,3.006797
0.06131089,2.2106364,2.8446894
0.019496482,2.368418,3.0127344
0.07623106,2.5785716,2.8317876
-0.047194026,2.4891868,2.944551
-0.042450503,2.7029853,3.1045046
0.04357753,2.2888396,2.9637969
-0.011015196,2.4161878,2.9562533
0.009036681,2.4532146,2.9726002
-0.024785068,2.1348336,2.9438925
0.022201547,2.3087234,2.9530194
-0.062506646,2.5461075,2.9734013
0.02332211,2.3395808,2.997532
0.027663326,2.4740005,2.8523846
0.0036726492,2.340907,2.9945235
0.0132240215,2.2107832,2.9455194
-0.020383287,2.8991678,3.057137
0.044475965,2.6424232,2.874693
0.004085717,2.677871,2.9536455
0.10654104,2.2599506,2.9116943
0.035032026,2.6576788,3.0360315
0.07359608,2.316377,2.907727
0.084207825,2.3986413,2.8509643
0.039754517,2.5313406,2.8769033
0.068701975,2.722689,3.0150008
0.05440245,2.2983315,3.0087821
-0.035018176,2.3516018,2.9324274
-0.041013923,2.720089,2.9529443
0.10004556,2.2915294,2.905186
-0.0268889,2.3674297,2.9697096
0.007122548,2.503244,2.962058
0.101635695,2.573887,2.8802564
0.021473194,2.5494473,2.9939475
-0.025578104,2.518907,2.9757025
-0.0045601157,2.4456222,2.8934023
0.09036165,2.2847931,2.900457
-0.0387267,2.5362618,2.9364583
