sigma_rate,a,b,beta
2.7147481,-0.82270765,1.4517187,2.7977107
-0.875324,0.00043730246,2.149196,3.8110209
1.7420524,-0.38814965,3.16926,4.1840878
3.0003915,-0.045928936,1.5297982,3.3282163
1.3797565,-0.32953608,2.3638024,4.2008095
3.0558355,-0.009187544,1.7919575,3.0044947
4.212959,0.07092032,0.591891,3.617842
0.4374902,0.15498948,-0.17802902,2.6920018
1.4402678,-0.28932512,2.3042967,3.4312449
2.9583712,0.10031636,6.4134216,3.876843
1.9438369,-0.1841033,2.3042543,3.354883
1.0200102,0.30004343,1.7437917,2.8844903
2.840692,-0.37040702,1.5418485,3.317235
1.1381276,-0.18387422,2.7675993,4.0534377
3.1177015,0.08602303,2.824149,3.6816647
1.6933006,0.28011137,-1.0048114,2.012974
0.6572496,-0.027982648,2.7159665,3.8993225
2.5602565,-0.2900985,3.6771026,1.5225947
3.2930477,0.54250985,3.98282,3.9775662
-1.062159,-0.064898476,2.2825854,3.7215135
2.8941948,-0.30575448,2.493997,3.6397355
-1.7570722,0.12258236,0.08433739,4.877444
0.03533102,0.87142265,2.7539704,4.8193574
3.3436337,-0.26375705,3.24393,2.960345
4.419998,0.11933083,0.5804717,3.5669217
-1.1602892,-0.0037907897,2.2114146,3.841206
1.9379168,-0.008848205,1.6520867,4.1683908
-0.9044032,-0.10784949,2.478981,3.5008516
4.27958,0.057230733,0.5506001,3.5213919
3.226396,-0.43344834,3.0494816,2.7887983
2.8542316,-0.05049135,1.4736773,3.4548705
3.1678808,0.1993813,3.1737719,4.0469007
-0.7958327,0.023684133,1.9425244,3.784944
2.9168718,-0.19397627,3.5976803,3.073753
3.0704625,0.4112136,4.4809113,4.2240677
3.1845973,-0.26466063,3.728829,1.8707995
2.8085096,-0.13486801,3.191261,3.1595116
-0.9666152,0.010452847,2.1363103,3.6916685
2.9003046,-0.5291358,2.6973925,3.2036948
0.75733453,0.6052427,1.7692755,4.83194
1.4640962,0.3365849,-1.5866027,4.027346
0.5068759,0.11967106,0.33233956,3.2043633
0.1550203,0.32446283,-1.1250108,4.8164306
3.0212877,-0.14905368,1.9866862,3.3717978
3.366365,0.40517926,3.9676049,2.49339
0.16476457,0.026180828,3.2223825,3.4697013
2.3762758,-0.28953767,2.656147,1.995468
2.433746,-0.3683657,2.3631132,2.8342457
3.1569536,0.51341903,3.9002848,3.7545552
3.7051868,-0.62379795,4.104458,2.5417676
-1.0893223,-0.078443974,2.0518963,3.5284333
-0.093316585,0.21108201,-1.3065759,4.959594
0.030442433,0.19565593,-1.2338037,5.043436
1.4041878,-0.010071096,2.1075895,-0.55380285
1.9185244,-0.7050228,1.6315469,3.2108328
-0.6896232,0.0091380635,2.185048,3.8581486
-0.6938163,-0.0031121639,2.0998592,3.7827857
1.1261755,0.5060726,5.7919126,2.1177473
1.2206055,0.27232274,2.2238326,2.5591047
-0.84078956,-0.089969635,2.284423,3.9136639
