sigma_rate,tan_a,tan_b,beta
1.7957214,-1.3771017,-0.57400626,2.8587403
-1.2004217,-0.6564584,-1.1686485,3.7617407
0.98093337,-0.9993817,-1.680742,4.0902786
2.1913848,-0.590785,-0.71443427,3.3872364
0.6603381,-0.86484456,-1.3472308,4.152255
2.2348578,-0.5483577,-0.8392686,3.0175755
3.634285,-0.5677731,-0.24050204,3.0943835
-0.27269256,-0.36720046,0.0004953081,2.65824
0.7378153,-0.9177311,-1.1947176,3.442496
2.2119272,-0.43134248,-3.6220932,3.9249907
1.2123277,-0.8587549,-1.1710728,3.3747647
0.32737693,-0.31319848,-1.0050436,2.885591
1.7775333,-0.91749275,-0.6274239,3.365009
0.41013625,-0.7041404,-1.5915928,3.9933214
2.462754,-0.4796595,-1.5069481,3.5260742
0.9958211,-0.33357346,0.42463812,2.0047915
-0.15847014,-0.6223623,-1.4388466,3.7445767
1.8426294,-0.8931867,-1.875782,1.5410855
2.492279,-0.08777733,-1.9911212,3.933395
-1.3723276,-0.69157034,-1.2658081,3.700147
2.0952835,-0.9457443,-1.1563345,3.6523767
-2.4722786,-0.40725416,-0.009858235,4.7307057
-0.66249156,0.27007726,-1.4446702,4.808186
2.6361222,-0.9423821,-1.6086919,3.0210247
3.381545,-0.5064208,-0.22647889,3.6076908
-1.8577971,-0.66603374,-1.234467,3.6981542
1.1942601,-0.55655193,-0.8815532,4.3768344
-1.3344985,-0.63903284,-1.0667969,3.8091593
3.1996608,-0.5762043,-0.32142067,3.7046552
2.503842,-1.0939152,-1.5063962,2.8271945
2.0480697,-0.6096076,-0.710166,3.3381221
2.497463,-0.28512433,-1.6939849,3.786408
-1.355278,-0.73767215,-1.2960823,3.7269382
2.1360204,-0.85455287,-1.7954295,2.9987717
2.3818967,-0.28302327,-2.2639365,4.0880337
2.5060048,-0.9442453,-1.9008995,1.9362638
1.8679963,-0.72452325,-1.5337566,3.227065
-1.5254437,-0.7260607,-1.2457963,3.726744
2.2791145,-1.22575,-1.380602,3.211601
0.06552995,-0.031006163,-0.98544216,4.9413543
0.7762004,-0.12012326,0.85883486,3.9495683
-0.21367155,-0.4522677,-0.1426901,3.2500982
-0.55377334,-0.38332304,0.48832244,4.7484226
2.3866165,-0.82671934,-1.0343753,3.3174996
2.607441,-0.25656554,-2.033644,2.499405
-0.52499217,-0.5466959,-1.6707839,3.447139
1.6808174,-0.9546172,-1.3158454,1.982536
1.6722716,-0.9871266,-1.1530496,2.8821058
2.513661,-0.15039873,-2.068948,3.6635933
3.0642917,-1.295341,-2.0799334,2.5412834
-1.1384529,-0.73250425,-1.2680753,3.705912
-0.7951695,-0.29657474,0.73504245,5.018649
-0.6826383,-0.25375062,0.6770345,4.910288
0.8218448,-0.572891,-1.0727407,-0.60350966
1.1702654,-1.3545048,-0.81692773,3.2276392
-1.3205358,-0.6609608,-1.138314,3.8528345
-1.3599249,-0.7194096,-1.2077389,3.7387807
0.45574623,-0.13853936,-3.0690825,2.1972134
0.5027548,-0.3972148,-1.1421932,2.6118324
-1.3867419,-0.6600849,-1.2665269,3.792739
0.3777568,-0.21489954,-0.99656117,4.9386115
-0.86236304,-0.41774955,-0.3472304,1.7952976
1.6447574,-0.595982,-1.1719584,3.692323
0.43994495,-1.3340322,-0.97220075,2.774991
1.3342366,-0.40796998,-0.6463916,0.1070111
3.365394,-0.49371973,-0.1693868,3.5167906
-1.4560871,-0.65001005,-1.0930334,3.7811732
-1.4604253,-0.59039354,-0.94796133,1.9029778
1.2392006,-0.44486514,-0.27940366,0.30349976
0.73191977,-0.96990263,-0.9671842,3.3055887
-0.004380836,-0.70467305,-1.3742287,4.0600343
