prior_mean,sigma_rate,beta
1.1486976,-0.8844935,0.4614977
0.94070053,-0.50398976,0.24789904
1.3275832,-0.5999046,0.10310809
0.63953924,-0.35689357,0.23534878
0.35707656,-0.35888892,0.116219714
0.67984563,-0.025646636,0.020829536
0.8427464,0.46056396,-0.109226346
0.9310747,0.03835551,-0.14949548
0.82154435,0.46413875,0.12376762
-0.65512425,1.5864594,0.13046774
-0.32975027,1.2134057,0.1038832
-0.4028004,1.3625587,0.17770748
-0.64852226,1.5001978,0.3122503
-0.5958025,1.4371568,0.38388878
-0.5926873,1.5033635,0.4352406
-0.73944235,1.484042,0.43979788
-0.56681216,1.4819117,0.5758105
-0.5733658,1.5334315,0.44614294
-0.7757615,1.6158658,0.8428702
-0.6638936,1.4405333,0.64520866
