"","trial","val_basic","delay","val_prc","response","RT","respSide","sideNOW","Version","loopID","Context"
"1",1,20,122,1.9,1,2.8579,2,1,"S1",1,1
"2",2,20,32,2.25,0,4.2243,1,1,"S1",1,1
"3",3,20,7,2.25,1,2.7171,1,2,"S1",1,1
"4",4,20,3,2.05,1,1.4399,1,2,"S1",1,1
"5",5,20,58,3.05,1,2.4916,1,2,"S1",1,1
"6",6,20,1,1.55,1,2.2111,2,1,"S1",1,1
"7",7,20,24,2.55,1,1.4692,2,1,"S1",1,1
"8",8,20,24,2.05,1,1.9462,1,2,"S1",1,1
"9",9,20,32,1.05,0,1.6433,2,2,"S1",1,1
"10",10,20,75,1.05,0,2.3052,1,1,"S1",1,1
"11",11,20,1,1.15,0,3.364,1,1,"S1",1,1
"12",12,20,58,1.55,0,1.7617,1,1,"S1",1,1
"13",13,20,24,3.05,1,2.467,1,2,"S1",1,1
"14",14,20,58,2.25,0,3.271,1,1,"S1",1,1
"15",15,20,45,1.65,0,2.199,1,1,"S1",1,1
"16",16,20,32,3.85,1,2.2384,2,1,"S1",1,1
"17",17,20,3,1.25,1,2.9692,2,1,"S1",1,1
"18",18,20,24,3.85,1,2.766,1,2,"S1",1,1
"19",19,20,7,1.25,0,3.2652,2,2,"S1",1,1
"20",20,20,32,1.9,1,3.8681,2,1,"S1",1,1
"21",21,20,32,1.055,0,1.752,1,1,"S1",1,1
"22",22,20,3,1.15,0,2.011,1,1,"S1",1,1
"23",23,20,122,2.05,0,1.7604,1,1,"S1",1,1
"24",24,20,45,1.05,0,1.6279,1,1,"S1",1,1
"25",25,20,32,1.55,0,3.848,2,2,"S1",1,1
"26",26,20,7,1.05,0,1.7528,1,1,"S1",1,1
"27",27,20,13,1.65,1,7.8331,1,2,"S1",1,1
"28",28,20,1,3.05,1,1.0948,1,2,"S1",1,1
"29",29,20,24,1.9,0,2.4692,1,1,"S1",1,1
"30",30,20,13,1.05,0,1.851,2,2,"S1",1,1
"31",31,20,7,2.55,1,1.5411,2,1,"S1",1,1
"32",32,20,24,1.65,0,2.5326,1,1,"S1",1,1
"33",33,20,24,2.25,0,7.4656,2,2,"S1",1,1
"34",34,20,24,1.55,0,2.5512,2,2,"S1",1,1
"35",35,20,32,1.65,0,3.2439,2,2,"S1",1,1
"36",36,20,58,1.45,0,2.1947,2,2,"S1",1,1
"37",37,20,13,3.45,1,3.9924,2,1,"S1",1,1
"38",38,20,1,1.85,1,2.0665,1,2,"S1",1,1
"39",39,20,58,2.55,1,2.635,2,1,"S1",1,1
"40",40,20,45,1.45,0,3.6906,2,2,"S1",1,1
"41",41,20,45,1.15,0,1.4457,2,2,"S1",1,1
"42",42,20,7,3.05,1,1.1992,2,1,"S1",1,1
"43",43,20,45,3.05,1,2.5256,2,1,"S1",1,1
"44",44,20,7,1.55,1,4.7707,2,1,"S1",1,1
"45",45,20,24,1.45,0,5.0552,2,2,"S1",1,1
"46",46,20,7,2.85,1,2.7923,1,2,"S1",1,1
"47",47,20,1,3.45,1,1.4739,2,1,"S1",1,1
"48",48,20,3,3.85,1,1.561,2,1,"S1",1,1
"49",49,20,75,1.55,0,2.3555,1,1,"S1",1,1
"50",50,20,58,2.05,0,1.8695,1,1,"S1",1,1
"51",51,20,75,1.9,0,1.6167,1,1,"S1",1,1
"52",52,20,75,2.85,0,5.051,1,1,"S1",1,1
"53",53,20,75,1.65,0,1.1458,2,2,"S1",1,1
"54",54,20,32,3.05,1,1.3867,1,2,"S1",1,1
"55",55,20,13,1.055,0,1.8329,1,1,"S1",1,1
"56",56,20,7,1.65,0,4.1437,1,1,"S1",1,1
"57",57,20,13,2.85,1,1.4871,2,1,"S1",1,1
"58",58,20,122,1.45,0,1.4662,2,2,"S1",1,1
"59",59,20,75,1.45,0,3.5563,2,2,"S1",1,1
"60",60,20,1,1.9,0,1.5201,2,2,"S1",1,1
"61",61,20,1,1.35,1,2.7994,1,2,"S1",1,1
"62",62,20,7,1.9,0,2.2156,2,2,"S1",1,1
"63",63,20,75,3.05,0,3.9614,2,2,"S1",1,1
"64",64,20,13,3.85,1,1.3616,1,2,"S1",1,1
"65",65,20,3,3.45,1,1.8705,1,2,"S1",1,1
"66",66,20,32,2.85,1,2.598,2,1,"S1",1,1
"67",67,20,45,3.45,1,2.2924,1,2,"S1",1,1
"68",68,20,45,1.35,0,1.8433,2,2,"S1",1,1
"69",69,20,3,3.05,1,1.1094,1,2,"S1",1,1
"70",70,20,24,1.85,0,1.7375,2,2,"S1",1,1
"71",71,20,1,1.05,0,2.199,2,2,"S1",1,1
"72",72,20,75,1.055,0,1.3603,2,2,"S1",1,1
"73",73,20,122,2.55,0,1.681,2,2,"S1",1,1
"74",74,20,75,1.25,0,1.884,2,2,"S1",1,1
"75",75,20,45,2.85,0,4.8176,2,2,"S1",1,1
"76",76,20,58,1.05,0,1.3731,2,2,"S1",1,1
"77",77,20,3,1.55,1,1.535,2,1,"S1",1,1
"78",78,20,1,3.85,1,1.3721,2,1,"S1",1,1
"79",79,20,58,1.25,0,2.6151,1,1,"S1",1,1
"80",80,20,122,1.65,0,0.9968,1,1,"S1",1,1
"81",81,20,122,2.85,0,1.6383,2,2,"S1",1,1
"82",82,20,3,1.05,0,1.8158,1,1,"S1",1,1
"83",83,20,58,3.85,1,1.8005,2,1,"S1",1,1
"84",84,20,58,1.15,0,1.624,1,1,"S1",1,1
"85",85,20,32,3.45,1,1.8499,1,2,"S1",1,1
"86",86,20,24,1.05,0,2.5732,2,2,"S1",1,1
"87",87,20,75,1.85,0,1.7883,2,2,"S1",1,1
"88",88,20,75,1.15,0,2.5564,2,2,"S1",1,1
"89",89,20,32,1.35,0,2.2696,1,1,"S1",1,1
"90",90,20,45,3.85,1,1.6646,1,2,"S1",1,1
"91",91,20,32,1.85,0,2.0622,1,1,"S1",1,1
"92",92,20,32,1.15,0,1.7464,2,2,"S1",1,1
"93",93,20,122,1.05,0,1.7029,2,2,"S1",1,1
"94",94,20,13,1.85,1,2.4487,2,1,"S1",1,1
"95",95,20,122,1.25,0,1.529,1,1,"S1",1,1
"96",96,20,13,1.45,1,2.0939,1,2,"S1",1,1
"97",97,20,58,1.85,0,3.267,1,1,"S1",1,1
"98",98,20,122,1.15,0,1.433,1,1,"S1",1,1
"99",99,20,58,1.055,0,2.6989,2,2,"S1",1,1
